code,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,code_attributes
266355005,,SNOMED  CT codes,C728,2595,COPD - Primary care,PH11,22,COPD,"[{""Validated Read Codes                                   Quint et al. 2014"": """", ""Description"": ""Bullous emphysema with collapse"", ""Quality and Outcomes Framework Read Codes 2017/18"": ""Y"", ""Read v2 Code"": ""H320300""}]"
266356006,,SNOMED  CT codes,C728,2595,COPD - Primary care,PH11,22,COPD,"[{""Validated Read Codes                                   Quint et al. 2014"": """", ""Description"": ""Atrophic (senile) emphysema"", ""Quality and Outcomes Framework Read Codes 2017/18"": ""Y"", ""Read v2 Code"": ""H32y100""}]"
270473001,,SNOMED  CT codes,C728,2595,COPD - Primary care,PH11,22,COPD,"[{""Validated Read Codes                                   Quint et al. 2014"": """", ""Description"": ""History of chronic obstructive pulmonary disease"", ""Quality and Outcomes Framework Read Codes 2017/18"": """", ""Read v2 Code"": ""14B3.12""}]"
2.93991E+14,,SNOMED  CT codes,C728,2595,COPD - Primary care,PH11,22,COPD,"[{""Validated Read Codes                                   Quint et al. 2014"": ""Y"", ""Description"": ""Very severe chronic obstructive pulmonary disease"", ""Quality and Outcomes Framework Read Codes 2017/18"": ""Y"", ""Read v2 Code"": ""H39..00""}]"
313296004,,SNOMED  CT codes,C728,2595,COPD - Primary care,PH11,22,COPD,"[{""Validated Read Codes                                   Quint et al. 2014"": ""Y"", ""Description"": ""Mild chronic obstructive pulmonary disease"", ""Quality and Outcomes Framework Read Codes 2017/18"": ""Y"", ""Read v2 Code"": ""H36..00""}]"
313297008,,SNOMED  CT codes,C728,2595,COPD - Primary care,PH11,22,COPD,"[{""Validated Read Codes                                   Quint et al. 2014"": ""Y"", ""Description"": ""Moderate chronic obstructive pulmonary disease"", ""Quality and Outcomes Framework Read Codes 2017/18"": ""Y"", ""Read v2 Code"": ""H37..00""}]"
313299006,,SNOMED  CT codes,C728,2595,COPD - Primary care,PH11,22,COPD,"[{""Validated Read Codes                                   Quint et al. 2014"": ""Y"", ""Description"": ""Severe chronic obstructive pulmonary disease"", ""Quality and Outcomes Framework Read Codes 2017/18"": ""Y"", ""Read v2 Code"": ""H38..00""}]"
3.83611E+14,,SNOMED  CT codes,C728,2595,COPD - Primary care,PH11,22,COPD,"[{""Validated Read Codes                                   Quint et al. 2014"": """", ""Description"": ""At risk of chronic obstructive pulmonary diseas exacerbation"", ""Quality and Outcomes Framework Read Codes 2017/18"": """", ""Read v2 Code"": ""14OX.00""}]"
390891009,,SNOMED  CT codes,C728,2595,COPD - Primary care,PH11,22,COPD,"[{""Validated Read Codes                                   Quint et al. 2014"": ""Y"", ""Description"": ""Chronic obstructive pulmonary disease monitoring"", ""Quality and Outcomes Framework Read Codes 2017/18"": """", ""Read v2 Code"": ""66YB.00""}]"
390941006,,SNOMED  CT codes,C728,2595,COPD - Primary care,PH11,22,COPD,"[{""Validated Read Codes                                   Quint et al. 2014"": ""Y"", ""Description"": ""Chronic obstructive pulmonary disease monitoring due"", ""Quality and Outcomes Framework Read Codes 2017/18"": """", ""Read v2 Code"": ""66YD.00""}]"
