code,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,code_attributes
73410007,Benign secondary renovascular hypertension,SNOMED  CT codes,C4250,11610,Hypertension,PH1752,3685,CCU002_03 Hypertension
762463000,Diastolic hypertension co-occurrent with systolic hypertension (disorder),SNOMED  CT codes,C4250,11610,Hypertension,PH1752,3685,CCU002_03 Hypertension
77970009,Benign hypertensive heart disease without congestive heart failure,SNOMED  CT codes,C4250,11610,Hypertension,PH1752,3685,CCU002_03 Hypertension
78975002,Malignant essential hypertension,SNOMED  CT codes,C4250,11610,Hypertension,PH1752,3685,CCU002_03 Hypertension
83105008,Malignant hypertensive heart disease with congestive heart failure,SNOMED  CT codes,C4250,11610,Hypertension,PH1752,3685,CCU002_03 Hypertension
843821000000102,Stage 1 hypertension (National Institute for Health and Clinical Excellence 2011) (disorder),SNOMED  CT codes,C4250,11610,Hypertension,PH1752,3685,CCU002_03 Hypertension
843841000000109,Severe hypertension (National Institute for Health and Clinical Excellence 2011) (disorder),SNOMED  CT codes,C4250,11610,Hypertension,PH1752,3685,CCU002_03 Hypertension
845891000000103,Hypertension resistant to drug therapy (disorder),SNOMED  CT codes,C4250,11610,Hypertension,PH1752,3685,CCU002_03 Hypertension
846371000000103,Stage 2 hypertension (National Institute for Health and Clinical Excellence 2011) (disorder),SNOMED  CT codes,C4250,11610,Hypertension,PH1752,3685,CCU002_03 Hypertension
86234004,Hypertensive heart AND renal disease,SNOMED  CT codes,C4250,11610,Hypertension,PH1752,3685,CCU002_03 Hypertension
863191000000102,Nocturnal hypertension (disorder),SNOMED  CT codes,C4250,11610,Hypertension,PH1752,3685,CCU002_03 Hypertension
89242004,Malignant secondary hypertension,SNOMED  CT codes,C4250,11610,Hypertension,PH1752,3685,CCU002_03 Hypertension
908631000000108,Stage 1 hypertension (National Institute for Health and Clinical Excellence 2011) without evidence of end organ damage (disorder),SNOMED  CT codes,C4250,11610,Hypertension,PH1752,3685,CCU002_03 Hypertension
908651000000101,Stage 1 hypertension (National Institute for Health and Clinical Excellence 2011) with evidence of end organ damage (disorder),SNOMED  CT codes,C4250,11610,Hypertension,PH1752,3685,CCU002_03 Hypertension
