medcodeid,term,snomedctconceptid,renal
7239671000006118,obstruction of peritoneal dialysis catheter by fibrin formation,440597004,1
7240511000006118,encapsulating peritoneal sclerosis associated with peritoneal dialysis,440663004,1
7240521000006114,encapsulating peritoneal sclerosis (eps) associated with peritoneal dialysis,440663004,1
7243731000006111,temporary peritoneal dialysis catheter in situ,440926006,1
7261621000006111,measurement of creatinine clearance in peritoneal dialysis fluid specimen,442238003,1
7262731000006112,cloudy peritoneal dialysis effluent,442326005,1
7267341000006117,measurement of creatinine clearance normalised to body surface area in peritoneal dialysis fluid specimen,442723000,1
7267351000006115,measurement of creatinine clearance normalized to body surface area in peritoneal dialysis fluid specimen,442723000,1
7272711000006110,dependence on haemodialysis,443143006,1
7272721000006119,dependence on hemodialysis,443143006,1
7272731000006116,dependent on hemodialysis,443143006,1
7279701000006119,radionuclide imaging of transplanted kidney,443578000,1
7279711000006116,radionuclide study of transplanted kidney,443578000,1
7279961000006115,dependence on peritoneal dialysis,443596009,1
7285711000006111,quantitative measurement of glucose in peritoneal dialysis fluid specimen,443946002,1
7285721000006115,quantitative measurement of mass concentration of glucose in peritoneal dialysis fluid specimen,443946002,1
7286481000006118,quantitative measurement of creatinine in 2 hour postperitoneal dialysis fluid specimen,443993009,1
7286491000006115,quantitative measurement of mass concentration of creatinine in 2 hour postperitoneal dialysis fluid specimen,443993009,1
7286501000006111,quantitative measurement of mass concentration of creatinine corrected for glucose concentration in overnight peritoneal dialysis fluid,443994003,1
7286511000006114,quantitative measurement of mass concentration of creatinine corrected for glucose concentration in overnight peritoneal dialysis fluid specimen,443994003,1
7289841000006118,quantitative measurement of creatinine in 4 hour postperitoneal dialysis fluid specimen,444224006,1
7289851000006116,quantitative measurement of mass concentration of creatinine in 4 hour postperitoneal dialysis fluid specimen,444224006,1
7293001000006112,quantitative measurement of glucose in predialysis peritoneal dialysis fluid specimen,444423002,1
7293011000006110,quantitative measurement of mass concentration of glucose in predialysis peritoneal dialysis fluid specimen,444423002,1
7293281000006110,quantitative measurement of concentration of glucose in peritoneal dialysis fluid at 4 hours postperitoneal dialysis,444450007,1
7293291000006113,quantitative measurement of mass concentration of glucose in peritoneal dialysis fluid specimen at 4 hours postperitoneal dialysis,444450007,1
7293931000006117,quantitative measurement of glucose in first peritoneal dialysis fluid specimen,444499006,1
7293941000006110,quantitative measurement of mass concentration of glucose in first peritoneal dialysis fluid specimen,444499006,1
7300661000006118,predialysis peritoneal dialysis fluid specimen,444959000,1
7302341000006111,postdialysis peritoneal dialysis fluid specimen,445069004,1
7307231000006112,haemodialysate specimen from haemodialysis machine using reverse osmosis system,445384000,1
7307241000006119,hemodialysate specimen from hemodialysis machine using reverse osmosis system,445384000,1
7309591000006116,haemodialysate specimen from haemodialysis machine using water distribution system,445529007,1
7309601000006112,hemodialysate specimen from hemodialysis machine using water distribution system,445529007,1
7316181000006117,duration of haemodialysis session,445940005,1
7316191000006119,duration of hemodialysis session,445940005,1
7318211000006119,change of prescription for haemodialysis,446048008,1
7318221000006110,adjustment of prescription for haemodialysis,446048008,1
7318231000006113,adjustment of prescription for hemodialysis,446048008,1
7318241000006115,change of prescription for hemodialysis,446048008,1
7323961000006114,haemodialysis technique,446402005,1
7323971000006119,hemodialysis technique,446402005,1
7338641000006112,dialysis fluid specimen obtained after continuous ambulatory peritoneal dialysis,447355008,1
7344691000006110,peritoneal dialysis technique,447693007,1
7354791000006117,removal of haemodialysis catheter,448423006,1
7354801000006116,removal of hemodialysis catheter,448423006,1
7369251000006114,replacement of peritoneal dialysis transfer set,449394000,1
7384261000006113,nontunneled haemodialysis catheter,450864003,1
7384271000006118,nontunneled hemodialysis catheter,450864003,1
7384281000006115,insertion of nontunneled haemodialysis catheter,450865002,1
7384291000006117,insertion of nontunneled hemodialysis catheter,450865002,1
7384301000006116,haemodialysis catheter,450866001,1
7384311000006118,hemodialysis catheter,450866001,1
7400351000006119,haemodialysis system blood leak detector,462191006,1
7400361000006117,hemodialysis system blood leak detector,462191006,1
7400641000006114,haemodialysis fistula dressing,462231004,1
7400651000006111,hemodialysis fistula dressing,462231004,1
7400671000006118,peritoneal dialysis system,462233001,1
7400811000006111,peritoneal dialysis system dialysate filter,462250004,1
7400821000006115,"haemodialysis chair, manual",462251000,1
7400831000006117,"hemodialysis chair, manual",462251000,1
7401011000006113,"haemodialysis catheter, implantable",462275000,1
7401021000006117,"hemodialysis catheter, implantable",462275000,1
7401311000006110,haemodialysis system dialysate level detector,462311000,1
7401321000006119,hemodialysis system dialysate level detector,462311000,1
7401361000006113,haemodialysis start/stop set,462316005,1
7401371000006118,hemodialysis start/stop set,462316005,1
7401551000006115,haemodialysis treatment kit,462337002,1
7401561000006118,hemodialysis treatment kit,462337002,1
7401581000006111,haemodialysis dialysate electrical conductivity meter,462341003,1
7401591000006114,hemodialysis dialysate electrical conductivity meter,462341003,1
7401651000006119,haemodialysis system dialysate delivery unit,462351002,1
7401661000006117,hemodialysis system dialysate delivery unit,462351002,1
7401751000006112,"peritoneal dialysis catheter, acute/chronic",462364001,1
7401851000006118,peritoneal dialysis dialysate,462379008,1
7402391000006112,haemodialysis system volume control unit,462433004,1
7402401000006114,hemodialysis system volume control unit,462433004,1
7402561000006111,haemodialysis system dialysate pyrogen filter,462454006,1
7402571000006116,hemodialysis system dialysate pyrogen filter,462454006,1
7402641000006113,"haemodialysis chair, electric",462465001,1
7402651000006110,"hemodialysis chair, electric",462465001,1
7402951000006119,"haemodialysis catheter, nonimplantable",462501006,1
7402961000006117,"hemodialysis catheter, nonimplantable",462501006,1
7403031000006118,haemodialysis dialysate,462512006,1
7403041000006111,hemodialysis dialysate,462512006,1
7403361000006112,"haemodialysis system, institutional/home-use",462550000,1
7403371000006117,"hemodialysis system, institutional/home-use",462550000,1
7403941000006112,haemodialysis needle,462617005,1
7403951000006114,hemodialysis needle,462617005,1
7404591000006111,haemodialysis system blood pump,462688007,1
7404601000006115,hemodialysis system blood pump,462688007,1
7404651000006116,"peritoneal dialysis catheter, chronic",462692000,1
7404661000006119,peritoneal dialysis catheterisation kit,462693005,1
7404671000006114,peritoneal dialysis catheterization kit,462693005,1
7405131000006116,haemodialysis system transducer protector,462736008,1
7405141000006114,hemodialysis system transducer protector,462736008,1
7405461000006117,haemodialysis system blood level detector,462771008,1
7405471000006112,hemodialysis system blood level detector,462771008,1
7405661000006115,peritoneal dialysis dialysate warmer,462795005,1
7405731000006115,peritoneal dialysis system sterile connection unit,462802008,1
7405851000006116,haemodialysis arm clamp,462821000,1
7405861000006119,hemodialysis arm clamp,462821000,1
7405871000006114,haemodialysis dialysate tank,462823002,1
7405881000006112,hemodialysis dialysate tank,462823002,1
7406421000006115,haemodialysis system bicarbonate mixer,462888009,1
7406431000006117,hemodialysis system bicarbonate mixer,462888009,1
7406481000006116,haemodialysis system plasma filtration unit,462892002,1
7406491000006118,hemodialysis system plasma filtration unit,462892002,1
7406661000006111,haemodialysis dialysate tubing,462912002,1
7406671000006116,hemodialysis dialysate tubing,462912002,1
7406851000006110,peritoneal dialysis system tubing set,462933006,1
7407241000006112,haemodialysis dialyser reprocessing system,462976008,1
7407251000006114,hemodialysis dialyzer reprocessing system,462976008,1
7407581000006115,haemodialysis dialysate tester,463020009,1
7407591000006117,hemodialysis dialysate tester,463020009,1
7407741000006116,haemodialysis system dialysate flowmeter,463035005,1
7407751000006119,hemodialysis system dialysate flowmeter,463035005,1
7407801000006114,"haemodialysis system, institutional",463041003,1
7407811000006112,"hemodialysis system, institutional",463041003,1
7407851000006113,peritoneal dialysis catheter adaptor,463046008,1
7408121000006111,"haemodialysis tubing set, reprocessed",463078000,1
7408131000006114,"hemodialysis tubing set, reprocessed",463078000,1
7408241000006113,haemodialysis system dialysate pyrogen-filtration set,463092006,1
7408251000006110,hemodialysis system dialysate pyrogen-filtration set,463092006,1
7408491000006117,"peritoneal dialysis catheter, acute",463120006,1
7408561000006114,haemodialysis system fluid mixer,463128004,1
7408571000006119,hemodialysis system fluid mixer,463128004,1
7408691000006119,haemodialysis system dialyser holder,463137004,1
7408701000006119,hemodialysis system dialyzer holder,463137004,1
7408721000006112,"haemodialysis tubing set, single-use",463139001,1
7408731000006110,"hemodialysis tubing set, single-use",463139001,1
7408791000006114,"haemodialysis dialysate delivery system, multi-patient",463147001,1
7408801000006110,"hemodialysis dialysate delivery system, multi-patient",463147001,1
7408821000006117,haemodialysis system air/foam detector,463152006,1
7408831000006119,hemodialysis system air/foam detector,463152006,1
7408891000006115,haemodialysis system blood line clamp,463162004,1
7408901000006116,hemodialysis system blood line clamp,463162004,1
7408921000006114,haemodialysis system dialysate temperature alarm,463165002,1
7408931000006112,hemodialysis system dialysate temperature alarm,463165002,1
7448891000006111,continuous ambulatory peritoneal dialysis (capd) transfer set,467745002,1
74720014,lipoid nephrosis,44785005,1
7482341000006116,infection associated with peritoneal dialysis catheter,473069007,1
7483511000006116,malfunction of peritoneal dialysis catheter,473147002,1
7484161000006113,leakage of peritoneal dialysis catheter,473190001,1
7484221000006112,normal renal function of transplanted kidney,473195006,1
7502751000006112,referral to surgical transplant service for renal transplant evaluation,697982000,1
7514951000006119,misplacement of haemodialysis catheter,698937002,1
7514961000006117,misplacement of hemodialysis catheter,698937002,1
7518811000006118,capd (continuous ambulatory peritoneal dialysis) associated peritonitis,699235009,1
754061000006111,"kidney transplant with complication, without blame",88797001,1
7541841000006118,"hollow-fibre haemodialysis dialyser, low flux, single-use",701063000,1
7541851000006116,"hollow-fiber hemodialysis dialyzer, low flux, single-use",701063000,1
7541941000006111,"parallel-plate haemodialysis dialyser, disposable-insert",701068009,1
7541951000006113,"parallel-plate hemodialysis dialyzer, disposable-insert",701068009,1
7542241000006113,"parallel-plate haemodialysis dialyser, high-permeability",701083004,1
7542251000006110,"parallel-plate hemodialysis dialyzer, high-permeability",701083004,1
7542381000006112,"parallel-plate haemodialysis dialyser, standard",701091008,1
7542391000006110,"parallel-plate hemodialysis dialyzer, standard",701091008,1
7542971000006110,"hollow-fibre haemodialysis dialyser, low flux, reusable",701122009,1
7542981000006113,"hollow-fiber hemodialysis dialyzer, low flux, reusable",701122009,1
7543151000006110,"hollow-fibre haemodialysis dialyser, high flux, reusable",701131009,1
7543161000006112,"hollow-fiber hemodialysis dialyzer, high flux, reusable",701131009,1
7543271000006112,"hollow-fibre haemodialysis dialyser, high flux, single-use",701137008,1
7543281000006110,"hollow-fiber hemodialysis dialyzer, high flux, single-use",701137008,1
754781000006116,"kidney dialysis with complication, without blame",116223007,1
7555421000006111,haemodialysis system operation software,702141009,1
7555431000006114,hemodialysis system operation software,702141009,1
7555781000006119,"haemodialysis tubing set, reusable",702176006,1
7555791000006116,"hemodialysis tubing set, reusable",702176006,1
7564221000006119,inadequate peritoneal dialysis,702634004,1
7564231000006116,inadequate haemodialysis,702635003,1
7564241000006114,inadequate hemodialysis,702635003,1
7569831000006116,post-renal transplant vesicoureteric reflux,703048006,1
7569841000006114,vesicoureteric reflux after renal transplant,703048006,1
7570441000006114,fluoroscopy guided peritoneal dialysis catheter procedure,703094009,1
7570451000006111,peritoneal dialysis catheter procedure using fluoroscopic guidance,703094009,1
7589131000006114,difficulty managing peritoneal dialysis,704308002,1
7595151000006116,haemodialysis catheterisation kit,704815000,1
7595161000006119,hemodialysis catheterization kit,704815000,1
7601911000006112,haemodialysis dialyzer,705490008,1
7601921000006116,hemodialysis dialyzer,705490008,1
7612311000006115,spondyloarthropathy due to hemodialysis-associated amyloidosis,707090004,1
7613121000006116,recurrent post-transplant renal disease,707148007,1
7613791000006118,familial non-obstructive reflux-associated chronic pyelonephritis,707208009,1
7622641000006118,two hours after peritoneal dialysis,707720002,1
7622651000006116,2h post peritoneal dialysis,707720002,1
7622661000006119,four hours after peritoneal dialysis,707721003,1
7622671000006114,4h post peritoneal dialysis,707721003,1
7622681000006112,twelve hours after peritoneal dialysis,707722005,1
7622691000006110,12h post peritoneal dialysis,707722005,1
7622701000006110,one day after peritoneal dialysis,707723000,1
7622711000006113,twenty four hours after peritoneal dialysis,707723000,1
7622721000006117,24h post peritoneal dialysis,707723000,1
7626811000006117,increase exchange volume of peritoneal dialysis,708008000,1
7626821000006113,increase number of perfusion exchanges per 24 hours of peritoneal dialysis,708009008,1
7626841000006118,increase blood flow for haemodialysis,708011004,1
7626851000006116,increase blood flow for hemodialysis,708011004,1
7626861000006119,increase session time for haemodialysis,708012006,1
7626871000006114,increase session time for hemodialysis,708012006,1
7641781000006113,maintenance haemodialysis,708931003,1
7641791000006111,maintenance hemodialysis,708931003,1
7641801000006112,emergency haemodialysis,708932005,1
7641811000006110,emergency hemodialysis,708932005,1
7688541000006114,transplantation of kidney regime,711446003,1
7691301000006112,peritoneal dialysis catheterisation support kit,712472005,1
7691311000006110,peritoneal dialysis catheterization support kit,712472005,1
7694951000006112,replacement of continuous ambulatory peritoneal dialysis transfer set,712754003,1
7707941000006112,nephrotic syndrome co-occurrent with human immunodeficiency virus infection,713695001,1
7708331000006119,sclerosing peritonitis as complication of peritoneal dialysis,713720009,1
7708341000006112,sclerosing peritonitis due to peritoneal dialysis,713720009,1
7708351000006114,hydrothorax as complication of peritoneal dialysis,713721008,1
7708361000006111,hydrothorax due to peritoneal dialysis,713721008,1
7708401000006118,abdominal hernia as complication of peritoneal dialysis,713724000,1
7708411000006115,abdominal hernia due to peritoneal dialysis,713724000,1
7708441000006116,haemoperitoneum as complication of peritoneal dialysis,713727007,1
7708451000006119,hemoperitoneum due to peritoneal dialysis,713727007,1
7708461000006117,hemoperitoneum as complication of peritoneal dialysis,713727007,1
7708471000006112,haemoperitoneum due to peritoneal dialysis,713727007,1
7709531000006119,haemodialysis and/or central venous catheterisation kit,713780006,1
7709541000006112,hemodialysis and/or central venous catheterization kit,713780006,1
7709551000006114,triple lumen haemodialysis catheter,713781005,1
7709561000006111,triple lumen hemodialysis catheter,713781005,1
7710031000006116,structure of renal artery of transplanted kidney,713824006,1
7710051000006111,renal artery stenosis of transplanted kidney,713825007,1
7714891000006118,chronic kidney disease stage 5 on dialysis,714152005,1
7714901000006119,chronic kidney disease 5d,714152005,1
7714911000006116,ckd (chronic kidney disease) stage 5d,714152005,1
7714921000006112,chronic kidney disease stage 5 with transplant,714153000,1
7714931000006110,chronic kidney disease 5t,714153000,1
7714941000006117,ckd (chronic kidney disease) stage 5t,714153000,1
773041000006111,insertion of chronic ambulatory peritoneal dialysis catheter,180272001,1
7757741000006117,sporadic idiopathic steroid-resistant nephrotic syndrome,717191005,1
7761641000006110,peritoneal dialysis care assessment,717738008,1
7761921000006113,multi-drug resistant nephrotic syndrome,717760006,1
7766371000006116,fluoroscopy guided antegrade insertion of ureteric stent into ureter of transplanted kidney,718030008,1
7766381000006118,antegrade insertion of ureteric stent into ureter of transplanted kidney using fluoroscopic guidance,718030008,1
7766391000006115,fluoroscopy guided retrograde insertion of ureteric stent into ureter of transplanted kidney,718031007,1
7766401000006118,retrograde insertion of ureteric stent into ureter of transplanted kidney using fluoroscopic guidance,718031007,1
7768141000006110,familial idiopathic steroid-resistant nephrotic syndrome,718141008,1
7770551000006113,peritoneal dialysis care,718308002,1
7770921000006110,haemodialysis care,718330001,1
7770931000006113,hemodialysis care,718330001,1
7770941000006115,haemodialysis care assessment,718331002,1
7770951000006118,hemodialysis care assessment,718331002,1
7785581000006115,kidney transplant recipient,719352000,1
7802491000006114,haemodialysis water purification system washer/disinfector,720350002,1
7802501000006118,hemodialysis water purification system washer/disinfector,720350002,1
7815201000006111,"microcephaly, hiatus hernia, nephrotic syndrome",721297008,1
7827571000006118,congenital nephrotic syndrome due to congenital infection,722118005,1
7827581000006115,congenital nephrotic syndrome (cns) due to congenital infection,722118005,1
7830451000006112,congenital nephrotic syndrome due to diffuse mesangial sclerosis,722369003,1
7830461000006114,congenital nephrotic syndrome (cns) due to diffuse mesangial sclerosis,722369003,1
7846921000006112,haemodialysis dialysate water chlorine test kit,723702004,1
7846931000006110,hemodialysis dialysate water chlorine test kit,723702004,1
7846941000006117,haemodialysis equipment residual chlorine test strip,723703009,1
7846951000006115,hemodialysis equipment residual chlorine test strip,723703009,1
7858521000006119,osteonecrosis due to and following renal dialysis,724612006,1
7932051000006112,entire renal artery of transplanted kidney,731627000,1
7958091000006119,"congenital nephrotic syndrome, interstitial lung disease, epidermolysis bullosa syndrome",733453005,1
7958101000006113,"congenital ilneb (interstitial lung disease, nephrotic syndrome, epidermolysis bullosa) syndrome",733453005,1
7958111000006111,"congenital nephrotic syndrome, epidermolysis bullosa, pulmonary disease syndrome",733453005,1
7960171000006111,home-use peritoneal dialysis connection kit,733699001,1
7960181000006114,home-use peritoneal dialysis connection kit housing,733700000,1
7960191000006112,home-use peritoneal dialysis connection kit frame,733701001,1
7960271000006116,"peritoneal dialysis catheter adaptor, reusable",733706006,1
7960281000006118,peritoneal dialysis catheter adaptor/dialysate line holder,733707002,1
7960291000006115,"single-lumen haemodialysis catheter, peripheral vascular",733708007,1
7960301000006119,"single-lumen hemodialysis catheter, peripheral vascular",733708007,1
7965291000006110,haemodialysis finding,331000124109,1
7965301000006111,hemodialysis finding,331000124109,1
7965331000006115,peritoneal dialysis finding,341000124104,1
7965381000006119,error in prescription for peritoneal dialysis,361000124100,1
7965441000006117,increase dialyser size for haemodialysis,381000124105,1
7965451000006115,increase dialyzer size for hemodialysis,381000124105,1
7965501000006118,haemodialysis blood flow,401000124105,1
7965511000006115,hemodialysis blood flow,401000124105,1
7965521000006111,haemodialysis residual renal function,411000124108,1
7965531000006114,hemodialysis residual renal function,411000124108,1
7965541000006116,haemodialysis access site non-patent,431000124102,1
7965551000006119,hemodialysis access site non-patent,431000124102,1
7965561000006117,haemodialysis access site patent,441000124107,1
7965571000006112,hemodialysis access site patent,441000124107,1
7965601000006117,increase in haemodialysis blood flow,451000124109,1
7965611000006119,increase in hemodialysis blood flow,451000124109,1
7965641000006115,increase in haemodialysis dialyzer size,461000124106,1
7965651000006118,increase in hemodialysis dialyzer size,461000124106,1
7965701000006112,increase in haemodialysis session time,471000124104,1
7965711000006110,increase in hemodialysis session time,471000124104,1
7965731000006116,haemodialysis observable,481000124101,1
7965741000006114,hemodialysis observable,481000124101,1
7966231000006117,compliant with peritoneal dialysis prescription,631000124104,1
7966301000006117,non-compliant with peritoneal dialysis prescription,641000124109,1
7966361000006116,peritoneal dialysis prescription compliance,651000124106,1
7966611000006114,chronic kidney disease stage 5 due to type 2 diabetes mellitus,711000119100,1
7966631000006115,chronic kidney disease stage 5 due to type ii diabetes mellitus,711000119100,1
7966641000006113,chronic kidney disease stage 4 due to type 2 diabetes mellitus,721000119107,1
7966661000006112,chronic kidney disease stage 4 due to type ii diabetes mellitus,721000119107,1
7966691000006116,chronic kidney disease stage 3 due to type 2 diabetes mellitus,731000119105,1
7966711000006118,chronic kidney disease stage 3 due to type ii diabetes mellitus,731000119105,1
7985891000006113,transplantation of kidney and pancreas,6471000179103,1
7985971000006118,laparoscopic biopsy of transplanted kidney,6501000179109,1
8022381000006115,nephrotic syndrome due to type 2 diabetes mellitus,71441000119104,1
8022431000006111,nephrotic syndrome due to type 1 diabetes mellitus,71721000119101,1
8027251000006115,history of nephrotic syndrome,90171000119101,1
8027451000006119,chronic kidney disease stage 3 due to type 1 diabetes mellitus,90741000119107,1
8027461000006117,chronic kidney disease stage 3 due to type i diabetes mellitus,90741000119107,1
8027471000006112,chronic kidney disease stage 4 due to type 1 diabetes mellitus,90751000119109,1
8027481000006110,chronic kidney disease stage 4 due to type i diabetes mellitus,90751000119109,1
8027491000006113,chronic kidney disease stage 5 due to type 1 diabetes mellitus,90761000119106,1
8027501000006117,chronic kidney disease stage 5 due to type i diabetes mellitus,90761000119106,1
8030411000006118,hypertensive heart and chronic kidney disease stage 5,96711000119105,1
8030421000006114,hypertensive heart and chronic kidney disease stage 4,96721000119103,1
8030431000006112,hypertensive heart and chronic kidney disease stage 3,96731000119100,1
8039001000006115,non-compliance with renal dialysis,125141000119102,1
8040661000006119,chronic kidney disease stage 4 due to hypertension,129151000119102,1
8040671000006114,chronic kidney disease stage 5 due to hypertension,129161000119100,1
8040681000006112,chronic kidney disease stage 3 due to hypertension,129171000119106,1
8041731000006110,thrombosis of arteriovenous graft due to haemodialysis arteriovenous access device,133031000119106,1
8041741000006117,thrombosis of arteriovenous graft due to hemodialysis arteriovenous access device,133031000119106,1
8041751000006115,thrombosis of arteriovenous graft caused by haemodialysis arteriovenous access device,133031000119106,1
8041761000006118,thrombosis of arteriovenous graft caused by hemodialysis arteriovenous access device,133031000119106,1
8044011000006117,hypertension in chronic kidney disease stage 5 due to type 2 diabetes mellitus,140101000119109,1
8044021000006113,hypertension in chronic kidney disease stage 5 due to type ii diabetes mellitus,140101000119109,1
8044041000006118,hypertension in chronic kidney disease stage 4 due to type 2 diabetes mellitus,140111000119107,1
8044051000006116,hypertension in chronic kidney disease stage 4 due to type ii diabetes mellitus,140111000119107,1
8044061000006119,hypertension in chronic kidney disease stage 3 due to type 2 diabetes mellitus,140121000119100,1
8044071000006114,hypertension in chronic kidney disease stage 3 due to type ii diabetes mellitus,140121000119100,1
8047651000006115,haemodialysis procedure done,152421000119107,1
8047661000006118,hemodialysis procedure done,152421000119107,1
8047971000006118,malignant hypertensive chronic kidney disease stage 5,153851000119106,1
8087071000006112,chronic kidney disease stage 3 due to benign hypertension,284991000119104,1
8087081000006110,chronic kidney disease stage 4 due to benign hypertension,285001000119105,1
8087091000006113,chronic kidney disease stage 5 due to benign hypertension,285011000119108,1
8087691000006115,malignant hypertensive chronic kidney disease stage 3,285871000119106,1
8087701000006115,malignant hypertensive chronic kidney disease stage 4,285881000119109,1
8091151000006111,nephrotic syndrome co-occurrent and due to systemic lupus erythematosus,295111000119108,1
8104231000006115,ckd (chronic kidney disease) stage 3 with proteinuria,324251000000105,1
8104261000006112,ckd (chronic kidney disease) stage 3 without proteinuria,324281000000104,1
8104301000006115,ckd (chronic kidney disease) stage 3a with proteinuria,324311000000101,1
8104351000006116,ckd (chronic kidney disease) stage 3a without proteinuria,324341000000100,1
8104381000006112,ckd (chronic kidney disease) stage 3b with proteinuria,324371000000106,1
8104411000006110,ckd (chronic kidney disease) stage 3b without proteinuria,324411000000105,1
8104451000006111,ckd (chronic kidney disease) stage 4 with proteinuria,324441000000106,1
8104481000006115,ckd (chronic kidney disease) stage 4 without proteinuria,324471000000100,1
8104511000006111,ckd (chronic kidney disease) stage 5 with proteinuria,324501000000107,1
8104551000006112,ckd (chronic kidney disease) stage 5 without proteinuria,324541000000105,1
8115641000006112,kidney transplant tissue sample,362361000000102,1
8116881000006112,fibrin formation around peritoneal dialysis catheter,364761000000109,1
8117011000006113,peritoneal dialysis associated encapsulating peritoneal sclerosis,365001000000107,1
8117021000006117,peritoneal dialysis associated eps (encapsulating peritoneal sclerosis),365001000000107,1
8117811000006119,renal transplant recipient,366961000000102,1
8120521000006119,nephrotic syndrome co-occurrent and due to membranoproliferative glomerulonephritis type iii,368911000119109,1
8120531000006116,nephrotic syndrome co-occurrent and due to membranoproliferative glomerulonephritis type 3,368911000119109,1
81307015,congenital nephrotic syndrome,48796009,1
8194521000006118,haemodialysis machine sodium level,517561000000106,1
8194551000006110,haemodialysis blood flow rate,517591000000100,1
8194561000006112,haemodialysis extracorporeal circuit volume,517601000000106,1
8194571000006117,haemodialysis machine bicarbonate level,517611000000108,1
8194591000006116,haemodialysis pump speed,517621000000102,1
8194601000006112,haemodialysis ultrafiltration rate,517631000000100,1
8194611000006110,haemodialysis ultrafiltration volume,517641000000109,1
8194631000006116,haemodialysis sodium profile type,517691000000104,1
8194731000006113,haemodialysis anticoagulant bolus dose,518191000000106,1
8194741000006115,duration of haemodialysis,518201000000108,1
8194751000006118,haemodialysis anticoagulant infusion rate,518211000000105,1
8194761000006116,haemodialysis blood circuit connection,518221000000104,1
8194771000006111,haemodialysis needle gauge,518231000000102,1
8194781000006114,haemodialysis priming volume,518241000000106,1
8194791000006112,haemodialysis pump head segment,518251000000109,1
8194831000006117,haemodialysis machine stroke volume,518311000000100,1
8196591000006113,failure of haemodialysis catheter,523441000000106,1
8212311000006110,anaemia in chronic kidney disease stage 4,691401000119104,1
8212321000006119,anemia co-occurrent and due to chronic kidney disease stage 4,691401000119104,1
8212331000006116,anemia in chronic kidney disease stage 4,691401000119104,1
8212341000006114,anaemia co-occurrent and due to chronic kidney disease stage 4,691401000119104,1
8212361000006113,anaemia in chronic kidney disease stage 5,691411000119101,1
8212371000006118,anemia co-occurrent and due to chronic kidney disease stage 5,691411000119101,1
8212381000006115,anaemia co-occurrent and due to chronic kidney disease stage 5,691411000119101,1
8212391000006117,anemia in chronic kidney disease stage 5,691411000119101,1
8212401000006115,anaemia co-occurrent and due to chronic kidney disease stage 3,691421000119108,1
8212411000006117,anemia co-occurrent and due to chronic kidney disease stage 3,691421000119108,1
8290931000006115,haemodialysis care plan,851641000000108,1
8321121000006114,ultrasonography guided insertion of nephrostomy tube into transplanted kidney,905871000000102,1
8321131000006112,ultrasound guided insertion of nephrostomy tube into transplanted kidney,905871000000102,1
8321141000006119,fluoroscopy guided insertion of nephrostomy tube into transplanted kidney,905881000000100,1
8335251000006112,ultrasonography of transplanted kidney with contrast,927531000000100,1
8335261000006114,ultrasound scan of transplanted kidney with contrast,927531000000100,1
8345881000006116,chronic kidney disease with glomerular filtration rate category g3a and albuminuria category a1,949881000000106,1
8345901000006119,chronic kidney disease with glomerular filtration rate category g3a and albuminuria category a2,949901000000109,1
8345931000006110,chronic kidney disease with glomerular filtration rate category g3a and albuminuria category a3,949921000000100,1
8346001000006110,chronic kidney disease with glomerular filtration rate category g3b and albuminuria category a1,950061000000103,1
8346021000006117,chronic kidney disease with glomerular filtration rate category g3b and albuminuria category a2,950081000000107,1
8346041000006112,chronic kidney disease with glomerular filtration rate category g3b and albuminuria category a3,950101000000101,1
8346101000006114,chronic kidney disease with glomerular filtration rate category g4 and albuminuria category a1,950181000000106,1
8346121000006116,chronic kidney disease with glomerular filtration rate category g4 and albuminuria category a2,950211000000107,1
8346151000006113,chronic kidney disease with glomerular filtration rate category g4 and albuminuria category a3,950231000000104,1
8346171000006115,chronic kidney disease with glomerular filtration rate category g5 and albuminuria category a1,950251000000106,1
8346201000006116,chronic kidney disease with glomerular filtration rate category g5 and albuminuria category a2,950291000000103,1
8346221000006114,chronic kidney disease with glomerular filtration rate category g5 and albuminuria category a3,950311000000102,1
8348921000006119,fluoroscopy guided antegrade insertion of stent into ureter of transplanted kidney,955621000000105,1
8348931000006116,fluoroscopy guided retrograde insertion of stent into ureter of transplanted kidney,955631000000107,1
8450921000006111,pretransplant evaluation of kidney and pancreas recipient,1076401000000104,1
8451011000006112,assessment prior to construction of renal dialysis vascular access,1076461000000100,1
8451051000006113,assessment of existing renal dialysis vascular access,1076481000000109,1
8451601000006117,fluoroscopy guided removal of nephrostomy tube from transplanted kidney,1076771000000100,1
86957016,nephrotic syndrome,52254009,1
900121000006113,renal transplant rejected,236570004,1
90461000006118,transplantation of kidney from cadaver,175902000,1
906311000006117,[rfc] continuous ambulatory peritoneal dialysis,906311000006101,1
906351000006116,[rfc] renal transplant,906351000006100,1
9351511000006113,dependence on continuous ambulatory peritoneal dialysis,11000731000119102,1
9351521000006117,dependence on continuous cycling peritoneal dialysis,11000771000119104,1
9351531000006119,continuous cycling peritoneal dialysis dependence,11000771000119104,1
9351541000006112,dependence on continuous cyclic peritoneal dialysis,11000771000119104,1
9352761000006114,renal dialysis done,11009631000119100,1
988961000006115,renal transplant rejected,213150003,1
994421000006111,chronic kidney disease stage 3,994421000006107,1
994431000006114,chronic kidney disease stage 4,994431000006105,1
994441000006116,chronic kidney disease stage 5,994441000006100,1
