code,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,code_attributes
162864005,Body mass index 30+ - obesity (finding),SNOMED  CT codes,C2808,7329,CCU002_01 Obesity - Phenotypes - England primary care EHR: BMI,PH976,2154,CCU002_01 Obesity,"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1""}]"
408512008,Body mass index 40+ - severely obese (finding),SNOMED  CT codes,C2808,7329,CCU002_01 Obesity - Phenotypes - England primary care EHR: BMI,PH976,2154,CCU002_01 Obesity,"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1""}]"
9.14721E+14,Obese class I (body mass index 30.0 - 34.9) (finding),SNOMED  CT codes,C2808,7329,CCU002_01 Obesity - Phenotypes - England primary care EHR: BMI,PH976,2154,CCU002_01 Obesity,"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1""}]"
9.14731E+14,Obese class II (body mass index 35.0 - 39.9) (finding),SNOMED  CT codes,C2808,7329,CCU002_01 Obesity - Phenotypes - England primary care EHR: BMI,PH976,2154,CCU002_01 Obesity,"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1""}]"
9.14741E+14,Obese class III (body mass index equal to or greater than 40.0) (finding),SNOMED  CT codes,C2808,7329,CCU002_01 Obesity - Phenotypes - England primary care EHR: BMI,PH976,2154,CCU002_01 Obesity,"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1""}]"
9.21031E+14,Child body mass index 98.1st-99.6th centile (finding),SNOMED  CT codes,C2808,7329,CCU002_01 Obesity - Phenotypes - England primary care EHR: BMI,PH976,2154,CCU002_01 Obesity,"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1""}]"
9.21051E+14,Child body mass index greater than 99.6th centile (finding),SNOMED  CT codes,C2808,7329,CCU002_01 Obesity - Phenotypes - England primary care EHR: BMI,PH976,2154,CCU002_01 Obesity,"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1""}]"
