code,coding_system,description,entity,list_name,upload_date
E100z00,Read,Simple schizophrenia NOS,diagnostic,929 - res178: Psychosis,2021-03-14
E101.00,Read,Hebephrenic schizophrenia,diagnostic,929 - res178: Psychosis,2021-03-14
E101000,Read,Unspecified hebephrenic schizophrenia,diagnostic,929 - res178: Psychosis,2021-03-14
E101400,Read,Acute exacerbation of chronic hebephrenic schizophrenia,diagnostic,929 - res178: Psychosis,2021-03-14
E101500,Read,Hebephrenic schizophrenia in remission,diagnostic,929 - res178: Psychosis,2021-03-14
E101z00,Read,Hebephrenic schizophrenia NOS,diagnostic,929 - res178: Psychosis,2021-03-14
E102.00,Read,Catatonic schizophrenia,diagnostic,929 - res178: Psychosis,2021-03-14
E102000,Read,Unspecified catatonic schizophrenia,diagnostic,929 - res178: Psychosis,2021-03-14
E102100,Read,Subchronic catatonic schizophrenia,diagnostic,929 - res178: Psychosis,2021-03-14
E102500,Read,Catatonic schizophrenia in remission,diagnostic,929 - res178: Psychosis,2021-03-14
E102z00,Read,Catatonic schizophrenia NOS,diagnostic,929 - res178: Psychosis,2021-03-14
E103.00,Read,Paranoid schizophrenia,diagnostic,929 - res178: Psychosis,2021-03-14
E103000,Read,Unspecified paranoid schizophrenia,diagnostic,929 - res178: Psychosis,2021-03-14
E103200,Read,Chronic paranoid schizophrenia,diagnostic,929 - res178: Psychosis,2021-03-14
E103300,Read,Acute exacerbation of subchronic paranoid schizophrenia,diagnostic,929 - res178: Psychosis,2021-03-14
E103400,Read,Acute exacerbation of chronic paranoid schizophrenia,diagnostic,929 - res178: Psychosis,2021-03-14
E103500,Read,Paranoid schizophrenia in remission,diagnostic,929 - res178: Psychosis,2021-03-14
E103z00,Read,Paranoid schizophrenia NOS,diagnostic,929 - res178: Psychosis,2021-03-14
E104.00,Read,Acute schizophrenic episode,diagnostic,929 - res178: Psychosis,2021-03-14
E104.11,Read,Oneirophrenia,diagnostic,929 - res178: Psychosis,2021-03-14
E105.00,Read,Latent schizophrenia,diagnostic,929 - res178: Psychosis,2021-03-14
E105000,Read,Unspecified latent schizophrenia,diagnostic,929 - res178: Psychosis,2021-03-14
E105200,Read,Chronic latent schizophrenia,diagnostic,929 - res178: Psychosis,2021-03-14
E105500,Read,Latent schizophrenia in remission,diagnostic,929 - res178: Psychosis,2021-03-14
E105z00,Read,Latent schizophrenia NOS,diagnostic,929 - res178: Psychosis,2021-03-14
E106.00,Read,Residual schizophrenia,diagnostic,929 - res178: Psychosis,2021-03-14
E107.00,Read,Schizo-affective schizophrenia,diagnostic,929 - res178: Psychosis,2021-03-14
E107000,Read,Unspecified schizo-affective schizophrenia,diagnostic,929 - res178: Psychosis,2021-03-14
E107100,Read,Subchronic schizo-affective schizophrenia,diagnostic,929 - res178: Psychosis,2021-03-14
E107.11,Read,Cyclic schizophrenia,diagnostic,929 - res178: Psychosis,2021-03-14
E107200,Read,Chronic schizo-affective schizophrenia,diagnostic,929 - res178: Psychosis,2021-03-14
E107300,Read,Acute exacerbation subchronic schizo-affective schizophrenia,diagnostic,929 - res178: Psychosis,2021-03-14
E107400,Read,Acute exacerbation of chronic schizo-affective schizophrenia,diagnostic,929 - res178: Psychosis,2021-03-14
E107500,Read,Schizo-affective schizophrenia in remission,diagnostic,929 - res178: Psychosis,2021-03-14
E107z00,Read,Schizo-affective schizophrenia NOS,diagnostic,929 - res178: Psychosis,2021-03-14
E10y.00,Read,Other schizophrenia,diagnostic,929 - res178: Psychosis,2021-03-14
E10y000,Read,Atypical schizophrenia,diagnostic,929 - res178: Psychosis,2021-03-14
E10y100,Read,Coenesthopathic schizophrenia,diagnostic,929 - res178: Psychosis,2021-03-14
E10y.11,Read,Cenesthopathic schizophrenia,diagnostic,929 - res178: Psychosis,2021-03-14
E10yz00,Read,Other schizophrenia NOS,diagnostic,929 - res178: Psychosis,2021-03-14
E10z.00,Read,Schizophrenia NOS,diagnostic,929 - res178: Psychosis,2021-03-14
E110.00,Read,Manic disorder; single episode,diagnostic,929 - res178: Psychosis,2021-03-14
E110000,Read,Single manic episode; unspecified,diagnostic,929 - res178: Psychosis,2021-03-14
E110100,Read,Single manic episode; mild,diagnostic,929 - res178: Psychosis,2021-03-14
E110.11,Read,Hypomanic psychoses,diagnostic,929 - res178: Psychosis,2021-03-14
E110200,Read,Single manic episode; moderate,diagnostic,929 - res178: Psychosis,2021-03-14
E110300,Read,Single manic episode; severe without mention of psychosis,diagnostic,929 - res178: Psychosis,2021-03-14
E110400,Read,Single manic episode; severe; with psychosis,diagnostic,929 - res178: Psychosis,2021-03-14
E110600,Read,Single manic episode in full remission,diagnostic,929 - res178: Psychosis,2021-03-14
E110z00,Read,Manic disorder; single episode NOS,diagnostic,929 - res178: Psychosis,2021-03-14
E111.00,Read,Recurrent manic episodes,diagnostic,929 - res178: Psychosis,2021-03-14
E111000,Read,Recurrent manic episodes; unspecified,diagnostic,929 - res178: Psychosis,2021-03-14
E111100,Read,Recurrent manic episodes; mild,diagnostic,929 - res178: Psychosis,2021-03-14
E111200,Read,Recurrent manic episodes; moderate,diagnostic,929 - res178: Psychosis,2021-03-14
E111300,Read,Recurrent manic episodes; severe without mention psychosis,diagnostic,929 - res178: Psychosis,2021-03-14
E111400,Read,Recurrent manic episodes; severe; with psychosis,diagnostic,929 - res178: Psychosis,2021-03-14
E111500,Read,Recurrent manic episodes; partial or unspecified remission,diagnostic,929 - res178: Psychosis,2021-03-14
E111600,Read,Recurrent manic episodes; in full remission,diagnostic,929 - res178: Psychosis,2021-03-14
E111z00,Read,Recurrent manic episode NOS,diagnostic,929 - res178: Psychosis,2021-03-14
E112400,Read,Single major depressive episode; severe; with psychosis,diagnostic,929 - res178: Psychosis,2021-03-14
E113400,Read,Recurrent major depressive episodes; severe; with psychosis,diagnostic,929 - res178: Psychosis,2021-03-14
E114.00,Read,Bipolar affective disorder; currently manic,diagnostic,929 - res178: Psychosis,2021-03-14
E114000,Read,Bipolar affective disorder; currently manic; unspecified,diagnostic,929 - res178: Psychosis,2021-03-14
E114100,Read,Bipolar affective disorder; currently manic; mild,diagnostic,929 - res178: Psychosis,2021-03-14
E114.11,Read,Manic-depressive - now manic,diagnostic,929 - res178: Psychosis,2021-03-14
E114200,Read,Bipolar affective disorder; currently manic; moderate,diagnostic,929 - res178: Psychosis,2021-03-14
E114300,Read,Bipolar affect disord; currently manic; severe; no psychosis,diagnostic,929 - res178: Psychosis,2021-03-14
E114400,Read,Bipolar affect disord; currently manic;severe with psychosis,diagnostic,929 - res178: Psychosis,2021-03-14
E114500,Read,Bipolar affect disord;currently manic; part/unspec remission,diagnostic,929 - res178: Psychosis,2021-03-14
