medcodeid,observations,originalreadcode,cleansedreadcode,snomedctconceptid,snomedctdescriptionid,term,depression,observations_2024_06,originalreadcode_2024_06,cleansedreadcode_2024_06,snomedctconceptid_2024_06,snomedctdescriptionid_2024_06,term_2024_06,depression_2024_06,JKQ_2024_06
"296137015",286746,"Eu320","Eu32000","310495003","454082014","Mild depression",1,273678,"Eu320","Eu32000","310495003","454082014","Mild depression",1,1
"296180012",9049,"Eu330","Eu33000","310495003","454082014","[X]Recurrent depressive disorder, current episode mild",1,8454,"Eu330","Eu33000","310495003","454082014","[X]Recurrent depressive disorder, current episode mild",1,1
"296138013",860635,"Eu321","Eu32100","310496002","454083016","[X]Moderate depressive episode",1,831341,"Eu321","Eu32100","310496002","454083016","[X]Moderate depressive episode",1,1
"296181011",24945,"Eu331","Eu33100","310496002","454083016","[X]Recurrent depressive disorder, current episode moderate",1,23522,"Eu331","Eu33100","310496002","454083016","[X]Recurrent depressive disorder, current episode moderate",1,1
"6000711000006112",63160,"^ESCTMO600071","","310496002","454083016","Moderate depression",1,52464,"^ESCTMO600071","","310496002","454083016","Moderate depression",1,1
"401866015",201549,"Eu322","Eu32200","310497006","454084010","[X]Severe depressive episode without psychotic symptoms",1,193770,"Eu322","Eu32200","310497006","454084010","[X]Severe depressive episode without psychotic symptoms",1,1
"426891000006114",703,"Eu322-1","Eu32211","310497006","454084010","[X] Single episode agitated depression without psychotic symptoms",1,692,"Eu322-1","Eu32211","310497006","454084010","[X] Single episode agitated depression without psychotic symptoms",1,1
"223741000000112",21836,"Eu322-2","Eu32212","310497006","454084010","Severe depression",1,18426,"Eu322-2","Eu32212","310497006","454084010","Severe depression",1,1
"424531000006118",8524,"Eu332","Eu33200","310497006","454084010","[X]Recurr depress disorder cur epi severe without psyc sympt",1,7262,"Eu332","Eu33200","310497006","454084010","[X]Recurr depress disorder cur epi severe without psyc sympt",1,1
"376691000006116",7853181,"Eu32z-1","Eu32z11","35489007","486184015","Depression",1,7172215,"Eu32z-1","Eu32z11","35489007","486184015","Depression",1,1
"376721000006114",372202,"Eu32","Eu32.00","35489007","486185019","Depressive episode",1,354670,"Eu32","Eu32.00","35489007","486185019","Depressive episode",1,1
"401872015",793393,"Eu32z","Eu32z00","35489007","486185019","[X]Depressive episode, unspecified",1,755659,"Eu32z","Eu32z00","35489007","486185019","[X]Depressive episode, unspecified",1,1
"376711000006118",64764,"Eu32z-2","Eu32z12","35489007","486185019","[X]Depressive disorder NOS",1,61767,"Eu32z-2","Eu32z12","35489007","486185019","[X]Depressive disorder NOS",1,1
"3071791000006111",349,"^ESCTDE307179","","35489007","486186018","Depressive illness",1,287,"^ESCTDE307179","","35489007","486186018","Depressive illness",1,1
"3071801000006112",1902,"^ESCTDE307180","","35489007","486187010","Depressed",1,1634,"^ESCTDE307180","","35489007","486187010","Depressed",1,1
"613791000006115",40645,"E11-2","E11..12","35489007","59212011","Depressive psychoses",1,38909,"E11-2","E11..12","35489007","59212011","Depressive psychoses",1,1
"295535012",6220654,"E2B","E2B..00","35489007","59212011","Depressive disorder",1,5908109,"E2B","E2B..00","35489007","59212011","Depressive disorder",1,1
"401871010",9526,"Eu32y","Eu32y00","35489007","59212011","[X]Other depressive episodes",1,9297,"Eu32y","Eu32y00","35489007","59212011","[X]Other depressive episodes",1,1
"3087971000006112",418,"^ESCTSE308797","","36474008","60885016","Severe recurrent major depression without psychotic features",1,366,"^ESCTSE308797","","36474008","60885016","Severe recurrent major depression without psychotic features",1,1
"401766011",522677,"E112","E112.00","36923009","61590015","Major depression, single episode",1,504471,"E112","E112.00","36923009","61590015","Major depression, single episode",1,1
"294824018",30207,"E1120","E112000","36923009","61590015","Single major depressive episode, unspecified",1,28562,"E1120","E112000","36923009","61590015","Single major depressive episode, unspecified",1,1
