code,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,code_attributes
170647000,,SNOMED  CT codes,C734,2607,Asthma - Primary care,PH12,24,Asthma,"[{""Description"": ""Asthma prophylactic medication used"", ""Quality and Outcomes Framework Read Codes 2017/18"": """", ""Validated Non-Specific Asthma Read Codes Nissen et al. 2017"": ""Y"", ""Validated Specific Asthma Read Codes Nissen et al. 2017"": """", ""Read v2 Code"": ""663W.00""}]"
170655007,,SNOMED  CT codes,C734,2607,Asthma - Primary care,PH12,24,Asthma,"[{""Description"": ""Asthma restricts exercise"", ""Quality and Outcomes Framework Read Codes 2017/18"": """", ""Validated Non-Specific Asthma Read Codes Nissen et al. 2017"": """", ""Validated Specific Asthma Read Codes Nissen et al. 2017"": ""Y"", ""Read v2 Code"": ""663e.00""}]"
170656008,,SNOMED  CT codes,C734,2607,Asthma - Primary care,PH12,24,Asthma,"[{""Description"": ""Asthma sometimes restricts exercise"", ""Quality and Outcomes Framework Read Codes 2017/18"": """", ""Validated Non-Specific Asthma Read Codes Nissen et al. 2017"": """", ""Validated Specific Asthma Read Codes Nissen et al. 2017"": ""Y"", ""Read v2 Code"": ""663e000""}]"
170657004,,SNOMED  CT codes,C734,2607,Asthma - Primary care,PH12,24,Asthma,"[{""Description"": ""Asthma severely restricts exercise"", ""Quality and Outcomes Framework Read Codes 2017/18"": """", ""Validated Non-Specific Asthma Read Codes Nissen et al. 2017"": """", ""Validated Specific Asthma Read Codes Nissen et al. 2017"": ""Y"", ""Read v2 Code"": ""663e100""}]"
170658009,,SNOMED  CT codes,C734,2607,Asthma - Primary care,PH12,24,Asthma,"[{""Description"": ""Asthma never restricts exercise"", ""Quality and Outcomes Framework Read Codes 2017/18"": """", ""Validated Non-Specific Asthma Read Codes Nissen et al. 2017"": """", ""Validated Specific Asthma Read Codes Nissen et al. 2017"": ""Y"", ""Read v2 Code"": ""663f.00""}]"
182724005,,SNOMED  CT codes,C734,2607,Asthma - Primary care,PH12,24,Asthma,"[{""Description"": ""Further asthma - drug prevent."", ""Quality and Outcomes Framework Read Codes 2017/18"": """", ""Validated Non-Specific Asthma Read Codes Nissen et al. 2017"": """", ""Validated Specific Asthma Read Codes Nissen et al. 2017"": ""Y"", ""Read v2 Code"": ""8791.00""}]"
182726007,,SNOMED  CT codes,C734,2607,Asthma - Primary care,PH12,24,Asthma,"[{""Description"": ""Asthma control step 0"", ""Quality and Outcomes Framework Read Codes 2017/18"": """", ""Validated Non-Specific Asthma Read Codes Nissen et al. 2017"": ""Y"", ""Validated Specific Asthma Read Codes Nissen et al. 2017"": """", ""Read v2 Code"": ""8793.00""}]"
182727003,,SNOMED  CT codes,C734,2607,Asthma - Primary care,PH12,24,Asthma,"[{""Description"": ""Asthma control step 1"", ""Quality and Outcomes Framework Read Codes 2017/18"": """", ""Validated Non-Specific Asthma Read Codes Nissen et al. 2017"": """", ""Validated Specific Asthma Read Codes Nissen et al. 2017"": ""Y"", ""Read v2 Code"": ""8794.00""}]"
182728008,,SNOMED  CT codes,C734,2607,Asthma - Primary care,PH12,24,Asthma,"[{""Description"": ""Asthma control step 2"", ""Quality and Outcomes Framework Read Codes 2017/18"": """", ""Validated Non-Specific Asthma Read Codes Nissen et al. 2017"": """", ""Validated Specific Asthma Read Codes Nissen et al. 2017"": ""Y"", ""Read v2 Code"": ""8795.00""}]"
182729000,,SNOMED  CT codes,C734,2607,Asthma - Primary care,PH12,24,Asthma,"[{""Description"": ""Asthma control step 3"", ""Quality and Outcomes Framework Read Codes 2017/18"": """", ""Validated Non-Specific Asthma Read Codes Nissen et al. 2017"": """", ""Validated Specific Asthma Read Codes Nissen et al. 2017"": ""Y"", ""Read v2 Code"": ""8796.00""}]"
182730005,,SNOMED  CT codes,C734,2607,Asthma - Primary care,PH12,24,Asthma,"[{""Description"": ""Asthma control step 4"", ""Quality and Outcomes Framework Read Codes 2017/18"": """", ""Validated Non-Specific Asthma Read Codes Nissen et al. 2017"": """", ""Validated Specific Asthma Read Codes Nissen et al. 2017"": ""Y"", ""Read v2 Code"": ""8797.00""}]"
182731009,,SNOMED  CT codes,C734,2607,Asthma - Primary care,PH12,24,Asthma,"[{""Description"": ""Asthma control step 5"", ""Quality and Outcomes Framework Read Codes 2017/18"": """", ""Validated Non-Specific Asthma Read Codes Nissen et al. 2017"": """", ""Validated Specific Asthma Read Codes Nissen et al. 2017"": ""Y"", ""Read v2 Code"": ""8798.00""}]"
183099005,,SNOMED  CT codes,C734,2607,Asthma - Primary care,PH12,24,Asthma,"[{""Description"": ""Asthma leaflet given"", ""Quality and Outcomes Framework Read Codes 2017/18"": """", ""Validated Non-Specific Asthma Read Codes Nissen et al. 2017"": ""Y"", ""Validated Specific Asthma Read Codes Nissen et al. 2017"": """", ""Read v2 Code"": ""8CE2.00""}]"
